month,eth_move,last,a_side,a_x,a_pnl,b_side,b_x,b_hedge,b_fills,b_pnl,pnl,ret,equity,dd,worst_open
2023-01,0.3326,up,PUT,1.0000,667.4125,PUT,1.0000,0.0000,0,667.4125,1334.8250,0.0778,18497.8449,0.0000,236.0200
2023-02,0.0441,up,PUT,1.0000,698.7612,PUT,1.0000,0.0000,0,698.7612,1397.5224,0.0814,19895.3673,0.0000,608.1532
2023-03,0.0826,up,PUT,1.0000,826.6496,PUT,1.0000,-1800.9419,1,-974.2922,-147.6426,-0.0086,19747.7246,0.0074,1916.5964
2023-04,0.0728,up,PUT,1.0000,675.4280,PUT,2.4425,0.0000,0,1649.7202,2325.1482,0.1355,22072.8728,0.0000,335.8159
2023-05,-0.0551,up,PUT,1.0000,29.5893,PUT,1.0000,-277.8624,1,-248.2731,-218.6838,-0.0127,21854.1890,0.0099,837.7653
2023-06,0.0387,down,-,0.0000,0.0000,CALL,1.4596,0.0000,0,111.0745,111.0745,0.0065,21965.2634,0.0049,708.7386
2023-07,-0.0123,up,PUT,1.0000,252.7040,PUT,1.2965,0.0000,0,327.6284,580.3324,0.0338,22545.5959,0.0000,597.7324
2023-08,-0.1129,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,374.2875,374.2875,0.0218,22919.8834,0.0000,105.8206
2023-09,0.0175,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,208.4079,208.4079,0.0121,23128.2913,0.0000,429.6230
2023-10,0.0618,up,PUT,1.0000,414.4273,PUT,1.0000,-1285.4841,1,-871.0568,-456.6296,-0.0266,22671.6617,0.0197,1317.8401
2023-11,0.1628,up,PUT,1.0000,519.8576,PUT,2.6756,0.0000,0,1390.9144,1910.7720,0.1113,24582.4337,0.0000,531.6518
2023-12,0.1308,up,PUT,1.0000,672.9079,PUT,1.0000,0.0000,0,672.9079,1345.8158,0.0784,25928.2494,0.0000,448.8508
2024-01,-0.0612,up,PUT,1.0000,54.0985,PUT,1.0000,0.0000,0,54.0985,108.1970,0.0063,26036.4464,0.0000,1667.0148
2024-02,0.3324,down,-,0.0000,0.0000,CALL,1.0000,853.3724,1,-2031.3619,-2031.3619,-0.1184,24005.0845,0.0780,2016.9062
2024-03,0.2054,up,PUT,1.0000,615.0588,PUT,4.3027,0.0000,0,2646.4208,3261.4796,0.1900,27266.5641,0.0000,471.4088
2024-04,-0.1126,up,PUT,1.0000,-346.4903,PUT,1.0000,-684.6363,1,-1031.1266,-1377.6169,-0.0803,25888.9472,0.0505,2376.2351
2024-05,0.1895,down,-,0.0000,0.0000,CALL,2.3022,-175.3519,1,-2993.6514,-2993.6514,-0.1744,22895.2957,0.1603,3055.5330
2024-06,-0.0801,up,PUT,1.5478,-130.4278,PUT,7.3630,0.0000,0,-620.4615,-750.8893,-0.0438,22144.4064,0.1879,5741.8663
2024-07,-0.0513,down,-,0.0000,0.0000,CALL,7.9062,0.0000,0,5317.8627,5317.8627,0.3098,27462.2691,0.0000,1089.9471
2024-08,-0.2251,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,709.3141,709.3141,0.0413,28171.5832,0.0000,200.7405
2024-09,0.0540,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,60.2173,60.2173,0.0035,28231.8005,0.0000,140.9763
2024-10,-0.0699,up,PUT,1.6893,-266.8111,PUT,1.0000,0.0000,0,-157.9451,-424.7563,-0.0247,27807.0442,0.0150,2416.1010
2024-11,0.4343,down,-,0.0000,0.0000,CALL,1.2328,3632.5128,1,-759.8682,-759.8682,-0.0443,27047.1760,0.0420,888.3204
2024-12,-0.0605,up,PUT,2.1147,420.6479,PUT,2.3757,0.0000,0,472.5495,893.1974,0.0520,27940.3734,0.0103,2370.6063
2025-01,-0.0249,down,-,0.0000,0.0000,CALL,1.4920,0.0000,0,1350.3217,1350.3217,0.0787,29290.6951,0.0000,1056.2295
2025-02,-0.3534,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,609.3163,609.3163,0.0355,29900.0114,0.0000,354.8546
2025-03,-0.0913,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,791.3157,791.3157,0.0461,30691.3271,0.0000,1489.5085
2025-04,-0.0715,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,707.3210,707.3210,0.0412,31398.6481,0.0000,118.3278
2025-05,0.4809,down,-,0.0000,0.0000,CALL,1.0000,3743.0301,1,-169.3343,-169.3343,-0.0099,31229.3138,0.0054,484.4447
2025-06,-0.0703,up,PUT,1.4606,143.7078,PUT,1.2414,0.0000,0,122.1404,265.8482,0.0155,31495.1620,0.0000,3122.2767
2025-07,0.4823,down,-,0.0000,0.0000,CALL,1.0604,3137.9581,1,-1332.1338,-1332.1338,-0.0776,30163.0282,0.0423,1355.9640
2025-08,0.2126,up,PUT,1.2309,956.2234,PUT,2.7755,0.0000,0,2156.1776,3112.4010,0.1813,33275.4291,0.0000,1326.4649
2025-09,-0.1067,up,PUT,1.0000,-325.1083,PUT,1.0000,0.0000,0,-325.1083,-650.2166,-0.0379,32625.2125,0.0195,1104.4247
2025-10,-0.0232,down,-,0.0000,0.0000,CALL,1.4200,0.0000,0,1099.2281,1099.2281,0.0640,33724.4406,0.0000,2144.4234
2025-11,-0.2141,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,754.2149,754.2149,0.0439,34478.6555,0.0000,140.6083
2025-12,-0.0149,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,755.8441,755.8441,0.0440,35234.4996,0.0000,873.4777
2026-01,-0.0789,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,686.8871,686.8871,0.0400,35921.3867,0.0000,775.8007
2026-02,-0.2572,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,671.3451,671.3451,0.0391,36592.7318,0.0000,106.5189
2026-03,0.0188,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,586.1277,586.1277,0.0342,37178.8596,0.0000,1067.7986
2026-04,0.1195,up,PUT,1.4512,1045.6971,PUT,1.0000,0.0000,0,720.5888,1766.2858,0.1029,38945.1454,0.0000,849.2808
2026-05,-0.1339,up,PUT,1.0000,-584.4910,PUT,1.0000,0.0000,0,-584.4910,-1168.9820,-0.0681,37776.1634,0.0300,1508.0638
2026-06,-0.2117,down,-,0.0000,0.0000,CALL,2.1553,0.0000,0,1090.4214,1090.4214,0.0635,38866.5848,0.0020,332.2218
2026-07,0.1945,down,-,0.0000,0.0000,CALL,1.0000,0.0000,0,-1169.5331,-1169.5331,-0.0681,37697.0517,0.0320,1756.6562
2026-08,0.3232,up,PUT,2.0600,1135.8732,PUT,3.1211,0.0000,0,1720.9153,2856.7885,0.1665,40553.8402,0.0000,1166.5806
2026-09,0.0700,up,PUT,1.0000,567.8610,PUT,1.0000,0.0000,0,567.8610,1135.7221,0.0662,41689.5623,0.0000,546.7291
