,1.0,1.5,2.0,3.0,5.0
Capital (lean),17163.019852434107,25744.52977865116,34326.03970486821,51489.05955730232,85815.09926217054
Total P&L,24526.54241537868,24526.54241537868,24526.54241537868,24526.54241537868,24526.54241537868
Total return,1.429034204135134,0.9526894694234228,0.714517102067567,0.4763447347117114,0.2858068408270268
Annual return (on starting capital),0.267016589858708,0.19536953271556912,0.15461665843116923,0.10947300879568189,0.06933437642980178
Average month,0.03175631564744743,0.021170877098298284,0.015878157823723715,0.010585438549149142,0.006351263129489485
Median month,0.035501694843694705,0.02366779656246314,0.017750847421847352,0.01183389828123157,0.007100338968738941
Monthly volatility,0.08516207187601348,0.056774714584008984,0.04258103593800674,0.028387357292004492,0.017032414375202698
"Sharpe (annualised, rf=0)",1.291738233955899,1.2917382339558987,1.291738233955899,1.2917382339558987,1.2917382339558987
Sortino (annualised),2.7285617479638478,2.728561747963847,2.7285617479638478,2.728561747963847,2.7285617479638464
Positive months,0.6888888888888889,0.6888888888888889,0.6888888888888889,0.6888888888888889,0.6888888888888889
Profit factor (gains / losses),2.7966451913789205,2.7966451913789205,2.7966451913789205,2.7966451913789205,2.79664519137892
Average win / average loss,1.2630010541711254,1.2630010541711256,1.2630010541711254,1.2630010541711256,1.2630010541711252
Best month,0.3098442305426679,0.20656282036177862,0.15492211527133395,0.10328141018088931,0.06196884610853358
Worst month,-0.17442451650281307,-0.1162830110018754,-0.08721225825140654,-0.0581415055009377,-0.03488490330056262
VaR 95% (monthly),0.07973656785139424,0.0531577119009295,0.03986828392569712,0.02657885595046475,0.01594731357027885
CVaR 95% (monthly),0.12434933434369615,0.08289955622913076,0.06217466717184807,0.04144977811456538,0.024869866868739227
Max drawdown (month-end),0.1878548996861863,0.14288515637187574,0.11528709491815473,0.08316189518248832,0.05340106441876767
"Max drawdown (intramonth, hourly)",0.3708987551798415,0.28211096287898807,0.22762163810938446,0.16419397872031935,0.10543450477621964
Calmar (annual return / max DD),0.7199177299186053,0.6925272620453717,0.6792704758449528,0.666729740328379,0.6576061278701988
Longest time under water (months),3,3,3,3,3
Losing months,14,14,14,14,14
Max losing streak 1b / 3b,3 / 3,3 / 3,3 / 3,3 / 3,3 / 3
Max size 1b / 3b (× base),2.1× / 7.9×,2.1× / 7.9×,2.1× / 7.9×,2.1× / 7.9×,2.1× / 7.9×
Max combined notional,89108.15454973017,89108.15454973017,89108.15454973017,89108.15454973017,89108.15454973017
Max notional / capital (leverage),5.191869223241189,3.4612461488274597,2.5959346116205944,1.7306230744137299,1.0383738446482378
Largest open loss inside a month,0.3345487200371486,0.22303248002476572,0.1672743600185743,0.11151624001238286,0.06690974400742972
