key,variant,rule,months,months_traded,losing_months,max_loss_streak,total_pnl,avg_month_pnl,max_drawdown,worst_month,max_size_x,max_notional,hedge_fills,hedge_pnl,capital_margin,capital_unlevered,return_on_margin_capital,ann_return_on_margin_capital,ends_with_open_deficit,stress_worst_month_on_max_size,capital_margin_worst_start,capital_unlevered_worst_start,ann_return_on_worst_start_capital,safe_capital,ann_return_on_safe_capital
puts,1 - Sell PUTS every month,martingale,45,45,14,3,16344.71,363.22,4136.04,-3551.55,6.37,63729.05,0,0.00,27845.46,57168.90,0.59,0.13,0.00,18652.35,37574.96,68242.74,0.10,56227.31,0.07
puts,1 - Sell PUTS every month,last_only,45,45,14,3,12142.60,269.84,4136.04,-3551.55,5.58,55762.12,0,0.00,9177.43,49782.97,1.32,0.25,0.00,16320.57,18906.93,60614.73,0.14,35227.50,0.08
puts,1 - Sell PUTS every month,fixed,45,45,14,3,4850.53,107.79,3947.04,-2926.82,1.00,10000.00,0,0.00,2553.73,10102.63,1.90,0.33,2051.71,2926.82,8395.02,14075.55,0.13,11321.84,0.10
calls,2 - Sell CALLS every month,martingale,45,45,16,3,3663.63,81.41,12958.57,-9174.00,19.64,196378.53,0,0.00,47989.72,190099.86,0.08,0.02,12958.57,82782.66,64611.92,206722.06,0.01,147394.58,0.01
calls,2 - Sell CALLS every month,last_only,45,45,16,3,-6239.04,-138.65,12677.94,-9174.00,17.53,175304.88,0,0.00,52349.40,179209.51,-0.12,-0.03,12677.94,73899.14,58788.30,185648.41,-0.03,132687.44,-0.01
calls,2 - Sell CALLS every month,fixed,45,45,16,3,-10834.41,-240.76,12606.78,-4215.46,1.00,10000.00,0,0.00,19420.04,22606.78,-0.56,-0.20,10834.41,4215.46,19420.04,22606.78,-0.20,23635.50,-0.15
switch,3 - Up->PUTS / Down->CALLS,martingale,45,45,11,3,17892.01,397.60,25097.33,-21832.17,33.31,333065.33,0,0.00,88943.70,345812.78,0.20,0.05,0.00,97482.25,99484.56,356353.63,0.05,196966.81,0.02
switch,3 - Up->PUTS / Down->CALLS,last_only,45,45,11,3,9478.63,210.64,8173.68,-4392.38,7.58,75835.62,0,0.00,22303.87,73920.15,0.42,0.10,0.00,22195.72,28389.56,80005.84,0.08,50585.29,0.05
switch,3 - Up->PUTS / Down->CALLS,fixed,45,45,11,3,-278.14,-6.18,11020.79,-4215.46,1.00,10000.00,0,0.00,13715.10,15495.84,-0.02,-0.01,5748.77,4215.46,19185.73,20966.48,-0.00,23401.19,-0.00
puts_up,1b - PUTS only after an up month,martingale,45,22,5,3,8043.58,365.62,743.73,-584.49,2.11,21147.45,0,0.00,2553.73,16173.08,3.15,0.46,0.00,6189.48,5781.06,21599.97,0.26,11970.54,0.15
puts_up,1b - PUTS only after an up month,last_only,45,22,5,3,7732.21,351.46,664.64,-584.49,2.06,20600.47,0,0.00,2553.73,14714.25,3.03,0.45,0.00,6029.39,4828.15,21327.21,0.29,10857.54,0.15
puts_up,1b - PUTS only after an up month,fixed,45,22,5,3,6842.57,311.03,588.70,-584.49,1.00,10000.00,0,0.00,2553.73,10102.63,2.68,0.42,0.00,2926.82,4079.58,10653.54,0.30,7006.40,0.20
calls_down,2b - CALLS only after a down month,martingale,45,23,6,2,8678.90,377.34,29236.44,-25324.07,38.77,387673.31,0,0.00,206522.30,411795.78,0.04,0.01,1169.53,163422.29,211636.26,416909.74,0.01,375058.55,0.01
calls_down,2b - CALLS only after a down month,last_only,45,23,6,2,1881.80,81.82,29236.44,-25324.07,33.71,337133.78,0,0.00,185628.25,364140.99,0.01,0.00,1169.53,142117.53,187857.48,366370.22,0.00,329975.01,0.00
calls_down,2b - CALLS only after a down month,fixed,45,23,6,2,-7120.71,-309.60,11344.45,-4215.46,1.00,10000.00,0,0.00,18850.59,20685.65,-0.38,-0.12,7779.51,4215.46,19509.39,21344.45,-0.11,23724.85,-0.09
switch_hedged,3b - Up->PUTS / Down->CALLS + perp hedge,martingale,45,45,14,3,16482.97,366.29,4645.24,-2993.65,7.91,79061.55,9,7142.60,18266.56,79030.14,0.90,0.19,0.00,16060.26,22943.21,83706.79,0.16,39003.48,0.10
switch_hedged,3b - Up->PUTS / Down->CALLS + perp hedge,last_only,45,45,14,3,11843.72,263.19,4507.87,-2993.65,5.73,57328.53,9,6963.85,14152.95,56260.48,0.84,0.18,0.00,5911.30,18754.67,60862.21,0.14,24665.97,0.11
switch_hedged,3b - Up->PUTS / Down->CALLS + perp hedge,fixed,45,45,14,3,6098.87,135.53,3832.06,-2031.36,1.00,10000.00,9,6377.01,7258.78,11725.72,0.84,0.18,128.85,2031.36,9365.12,13832.06,0.14,11396.48,0.12
puts_up_hedged,1c - 1b + perp hedge,martingale,45,22,8,3,6660.22,302.74,1696.68,-1031.13,3.54,35430.81,4,-4048.92,6077.14,32596.04,1.10,0.22,0.00,3653.36,10120.68,36639.58,0.14,13774.04,0.11
puts_up_hedged,1c - 1b + perp hedge,last_only,45,22,8,3,5558.39,252.65,1461.30,-1031.13,2.68,26755.68,4,-4048.92,4945.63,25695.53,1.12,0.22,0.00,2758.85,7789.05,27877.15,0.15,10547.90,0.12
puts_up_hedged,1c - 1b + perp hedge,fixed,45,22,8,3,2793.65,126.98,1273.34,-1031.13,1.00,10000.00,4,-4048.92,2627.43,10721.40,1.06,0.21,0.00,1031.13,4690.03,12087.58,0.13,5721.16,0.11
calls_down_hedged,2c - 2b + perp hedge,martingale,45,23,6,2,8678.90,377.34,6667.57,-4636.21,10.91,109127.87,5,10871.89,29825.36,115136.64,0.29,0.07,1169.53,22167.82,30484.16,115795.44,0.07,52651.98,0.04
calls_down_hedged,2c - 2b + perp hedge,last_only,45,23,6,2,6478.20,281.66,6667.57,-4636.21,7.89,78927.27,5,10871.89,23234.24,84936.05,0.28,0.07,1169.53,16032.99,23893.03,85594.84,0.07,39926.02,0.04
calls_down_hedged,2c - 2b + perp hedge,fixed,45,23,6,2,3305.22,143.71,3331.73,-2031.36,1.00,10000.00,5,10425.93,8048.04,12672.93,0.41,0.10,1169.53,2031.36,8889.96,13331.73,0.09,10921.32,0.07
switch_call_hedge,3c - 3b but hedge the CALLS only,martingale,45,45,11,3,17892.01,397.60,2595.32,-2031.36,4.86,48585.10,5,11257.38,7700.56,45094.74,2.32,0.38,0.00,13180.01,13786.25,51180.43,0.25,26966.26,0.15
switch_call_hedge,3c - 3b but hedge the CALLS only,last_only,45,45,11,3,15136.61,336.37,2549.16,-2031.36,4.30,43027.12,5,11078.63,6293.08,39099.96,2.41,0.39,0.00,12593.26,12378.77,44570.60,0.24,24972.04,0.13
switch_call_hedge,3c - 3b but hedge the CALLS only,fixed,45,45,11,3,10147.79,225.51,3147.43,-2031.36,1.00,10000.00,5,10425.93,3209.85,10102.63,3.16,0.46,128.85,2926.82,8791.58,13147.43,0.23,11718.40,0.18
